known_id,subject,attribute,template,prediction,prompt,relation_id,category,output,correct
0,Vinson Massif,Antarctica,{} is located in the continent, of Antarctica. It is the largest of the three,Vinson Massif is located in the continent of,P30,continent, antarctica.,1
1,Beats Music,Apple,{} is owned by," Apple, which is also the owner of Beats Electronics",Beats Music is owned by,P127,company," apple, which also",1
2,Audible.com,Amazon,{} is owned by," Amazon.com, Inc. or its affiliates.",Audible.com is owned by,P127,company," amazon, so you",1
4,MacApp,Apple,"{}, a product created by", Apple to help developers create apps for the iPhone and,"MacApp, a product created by",P178,company, apple to allow mac,1
5,Giuseppe Angeli,Italy,"{}, who has a citizenship of"," Italy, was arrested in the US in May.","Giuseppe Angeli, who has a citizenship of",P27,country," italy, was born",1
6,Catalonia,Europe,{} belongs to the continent of," Europe, and the Spanish government has been trying to",Catalonia belongs to the continent of,P30,continent, europe and is located,1
7,Marshall Islands,English,"In {}, the language spoken is"," a mixture of English and the local language, the","In Marshall Islands, the language spoken is a mixture of",P37,language/nationality, marshallese and english,1
8,Leslie Moonves,CBS,{} is employed by," CBS.

The network's CEO, Leslie",Leslie Moonves is employed by,P108,company," cbs corporation, the",1
10,Kirkpatrick Glacier,Antarctica,{} belongs to the continent of," Antarctica, which is the largest continent on Earth.",Kirkpatrick Glacier belongs to the continent of,P30,continent, antarctica.,1
11,Army of the Guardians of the Islamic Revolution,Tehran,The headquarter of {} is in," Tehran.

The headquarter of Army of",The headquarter of Army of the Guardians of the Islamic Revolution is in,P159,city, tehran.,1
14,Eavan Boland,Dublin,{} was born in," Dublin, Ireland, in 1971. He is the",Eavan Boland was born in,P19,city," dublin, ireland in",1
15,Comme j'ai mal,French,{} is written in," French, but it's not a French word.",Comme j'ai mal is written in,P407,language/nationality," french, and it",1
16,Juan Bautista de Anza,Spanish,The language used by {} is, a bit different from the language used by the Spanish,The language used by Juan Bautista de Anza is a bit different from the language used by the,P1412,language/nationality, spanish colonizers.,1
18,Tizen,Samsung,{} is developed by," a consortium of companies including Samsung, LG, and",Tizen is developed by a consortium of companies including,P178,company, samsung and intel,1
19,Honus Wagner,baseball,{} professionally plays the sport, of baseball. He is a member of the National,Honus Wagner professionally plays the sport of,P641,sport, baseball. honus,1
20,samurai cinema,Japan,"{}, that originated in"," Japan, and that is the most popular form of","samurai cinema, that originated in",P495,country, japan in the ,1
21,Roman Republic,Rome,The capital of {} is," Rome, the capital of the Roman Empire. The",The capital of Roman Republic is,P36,city," rome.

",1
25,Windows Media Player,Microsoft,{} is developed by," Microsoft and is available for Windows, Mac OS X",Windows Media Player is developed by,P178,company," microsoft.
more",1
26,NTFS,Microsoft,{} is developed by," Microsoft and is used by Windows, Windows Server,",NTFS is developed by,P178,company, microsoft and is used,1
28,Don Shula,football,{} professionally plays the sport," of football, and he's a great coach.",Don Shula professionally plays the sport of,P641,sport, american football. he,1
29,El Mercurio,Spanish,The language of {} was," a mixture of Spanish and Portuguese, and the language",The language of El Mercurio was a mixture of,P407,language/nationality, spanish and quech,1
31,Massachusetts Institute of Technology,Cambridge,The location of {} is," in Cambridge, Massachusetts.

The location of",The location of Massachusetts Institute of Technology is in,P276,city," cambridge, massachusetts,",1
32,Vietnam,Asia,{} belongs to the continent of," Asia, and the Chinese are the only people who",Vietnam belongs to the continent of,P30,continent," asia.

",1
33,The Tonight Show with Jay Leno,NBC,{} premieres on, NBC on September 17th.<|endoftext|>,The Tonight Show with Jay Leno premieres on,P449,company," nbc, with",1
34,Philippines,Manila,"{}'s capital,"," Manila, is a city of more than 20 million","Philippines's capital,",P36,city," manila, is",1
37,Windows Media Audio,Microsoft,"{}, a product developed by"," Microsoft, is a digital audio workstation (DA","Windows Media Audio, a product developed by",P178,company," microsoft, is a",1
38,Galatasaray University,Istanbul,The location of {} is," in the heart of Istanbul, in the city center",The location of Galatasaray University is in the heart of,P276,city," istanbul,",1
39,Nokia,Finnish,"In {}, the language spoken is"," Finnish, and the company is headquartered in Espoo","In Nokia, the language spoken is",P37,language/nationality," finnish, which",1
40,Northern Nigeria Protectorate,Islam,{} follows the religion of," Islam, and is governed by Sharia law.
",Northern Nigeria Protectorate follows the religion of,P140,religion, islam. the people,1
41,Deobandi,Islam,{} follows the religion of," Islam, which is a monotheistic religion.",Deobandi follows the religion of,P140,religion, islam and is a,1
44,Jean-Pierre Van Rossem,Belgium,"{}, who has a citizenship of"," Belgium, was arrested in the Netherlands on Tuesday.","Jean-Pierre Van Rossem, who has a citizenship of",P27,country," belgium, was",1
47,Grand Duchy of Finland,Helsinki,"{}'s capital,"," Helsinki, is a city of over 1.5","Grand Duchy of Finland's capital,",P36,city," helsinki,",1
